file	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	label
BELL_T_LED_35_D45_4000K.ies	4499.9	4572.5	3187.8	1075.5	235.8	0.7	0.4	0	0.4	0	0	0	0	0	0	0	0	0	0	2
COLIBRI_DL_11_LED_4000K.ies	397.2	385.6	353.2	303.4	239.9	171.8	107.3	50	10.5	0	0	0	0	0	0	0	0	0	0	2
COLIBRI_DL_19_LED_4000K.ies	778.5	755.1	690.5	592.5	469.5	342.2	221.9	113.9	30	1.1	0	0	0	0	0	0	0	0	0	2
DL_POWER_LED_40_D80_4000K.ies	357.5	1902.7	1738.5	1520.3	1068.6	580.7	268.6	104.6	1.3	0	0	0	0	0	0	0	0	0	0	2
DL_POWER_LED_40_D80_IP66_4000K.ies	1665.2	1596.3	1430.4	1265.7	1084.1	296.8	184.9	73.8	2.8	0.1	0	0	0	0	0	0	0	0	0	2
DL_POWER_LED_40_D80_IP66_4000K_mat.ies	1513.1	1459.8	1313.3	1096.5	817	499	243.5	95.3	10.2	0	0	0	0	0	0	0	0	0	0	2
DL_POWER_LED_60_D80_4000K.ies	3486.6	3389.4	3078.6	2581.4	1886.5	1135	510.5	190.3	7.9	0.1	0	0	0	0	0	0	0	0	0	2
DL_POWER_LED_60_D80_IP66_4000K_mat.ies	2786.6	2707.4	2456.3	2073.2	1569.3	989.4	514.2	205.3	22.4	0	0	0	0	0	0	0	0	0	0	2
DL_POWER_LED_MINI_13_D60_4000K.ies	1181.2	1209.7	1108.4	727.9	312.7	102	32.6	12.2	2.6	0	0	0	0	0	0	0	0	0	0	2
DL_POWER_LED_MINI_24_D60_4000K.ies	1856.2	1900.9	1741.8	1143.9	491.4	160.3	51.2	19.2	4	0	0	0	0	0	0	0	0	0	0	2
DL_POWER_LED_MINI_24_D80_4000K.ies	1218	1207.6	1182.5	1057.5	733.5	313.1	109.7	37.1	6.1	0	0	0	0	0	0	0	0	0	0	2
HBM_70.ies	2230.2	2192.63333333333	2062.43333333333	1779.4	1329.3	855.4	430.5	114.566666666667	43.4	14.7	0	0	0	0	0	0	0	0	0	2
HB_LED_150_D80_Ex_5000K.ies	357.5	9167.8	9651.1	8969.5	4453	1415.7	489.3	148.8	3.9	3.6	0.5	0	0	0	0	0	0	0	0	2
HB_LED_152_D64_5000K.ies	13254	13155.6	13316.4	9749.8	3015.7	633.2	192.6	68	13.2	1.6	0.8	0.3	0.2	0	0	0	0	0	0	2
HB_LED_152_D64_5000K_E.ies	13262.3	13163.7	13324.7	9755.8	3017.6	633.6	192.7	68.1	13.2	1.6	0.8	0.3	0.2	0	0	0	0	0	0	2
HB_LED_75_D80_5000K_E.ies	357.5	4583.9	4825.5	4484.7	2226.5	707.8	244.7	74.4	2	1.8	0.3	0	0	0	0	0	0	0	0	2
HB_LED_75_D80_Ex_5000K.ies	357.5	4583.9	4825.5	4484.7	2226.5	707.8	244.7	74.4	2	1.8	0.3	0	0	0	0	0	0	0	0	2
HB_LED_76_D64_5000K_E.ies	6679.3	6644.8	6569.1	4679.7	1522.2	342.2	113.7	45.5	13.4	2.1	2.3	2.4	2.1	2.1	1.9	2.1	1	1	0	2
HOOP_27.ies	592.1	573.6	515.1	446.1	367.5	300.1	243.1	200.1	165.5	138	130.8	124.2	113.7	100.2	84	64.6	42.3	20	5.2	2
INSEL_LB_R_LED_120_D65_5000K.ies	10223.2	10135.5	9759.4	7022.4	2534.6	652.9	241.7	67.4	4.5	0.1	0	0	0	0	0	0	0	0	0	2
INSEL_LB_R_LED_80_D65_5000K.ies	357.5	7300.3	7104	5463	2169.9	562.2	201.5	59.5	2	0.3	0	0	0	0	0	0	0	0	0	2
INSEL_LB_S_LED_120_D65_5000K.ies	10197.3	10184.3	9631.5	6793.3	2509	694	280.7	85.9	7.6	0.1	0	0	0	0	0	0	0	0	0	2
